tx_hash,duration_ms,issuer,contract,function,clarity_runtime,clarity_read_count,clarity_read_length,clarity_write_count,clarity_write_length
a48f62d204e8a88fd6152ef4f696cd2c17b4822218a36ce35322ed37dbeee511,3320.978,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-swap-router-v-1-2,swap-x-for-y-simple-multi,179460331,13417,73383932,1642,41108
3af44e88ca135f602b7818dd1d6f9af23dff37ffc5c3003dd27896f45b637f04,3303.229,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,238300201,13139,64216573,3235,1413450
0e46e9515d029ec5675c275ef7539944a734e50fbd32640b19b425362a83d723,3273.654,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,238274021,13141,64219193,3237,1413450
56515ef56a4604ccea14e269511ca70a204068b2666d39f8b565ddd0c2d92d53,3263.373,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,238468798,13148,64255316,3237,1423651
6b9307897f40c129ad81bbd1b39a5db83f140d669f4ce918aad9f70113a2fb91,3261.281,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,212791462,11418,57244196,2768,2000501
59d86cfc7cdd319ce1c054781224eeeb1ca1f034a480faa3108cf98caefbf2f2,3253.31,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,238399121,13141,64234493,3237,1428750
b452cb52354679016c539daea6acc82a6cf8f19ce25f12b7d060f3f4b02c1c0a,3239.03,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,214296672,11800,57853560,2747,722676
b4efa6ae464ef5ffab493c5a53923025847434fc6b6a482fdb6c9a843a00fdcb,3234.439,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,239315369,13075,64132733,3171,1413450
be548ce087735e221fb1de25e3df41ab6e4052954ba81f758cd2b4d2f1ee1ddf,3223.051,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,238357421,13141,64229393,3237,1423650
c961ba1c8d78d4aa6bc7deb659954b7c9a9aa44de36e6447ecfd24b7d4385825,3204.257,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,211545388,11664,57191303,2717,707852
f4da3be6d3d93848b2414aa7d3894c3073d990efc9428b17a84e1568d073eaa7,3178.623,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,216915451,12367,60551885,3090,757857
5cf1b97913e4882dc50d07702c2dfa77e0f75442c4725e9fe7f885e2d79b0cc3,3175.746,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,214201064,11792,57826332,2746,722675
95da760074f5ae8306192e7e03dd513d4e72b505b141bebc15cec93f3bd45a48,3174.79,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,238347277,13139,64221673,3235,1418550
c454daede0f76f8af465dc88f598d02bd291174129e46573f69a6fe1e4897605,3148.76,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,239603883,13062,64125903,3158,1423650
16592d7162593d3982c452f741a18ccf46ec377b6fa344df6fccde6552b98e8b,3115.211,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,238399121,13141,64234493,3237,1428750
b1d0c482add35a43f4ebbdecda0323bd62f5cb5071d5542e1b002ac893b15aa1,3114.548,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-swap-router-v-1-2,swap-y-for-x-simple-multi,147512631,11646,59994503,1660,43600
e7a8c4fc8ac7ccbe77c4d82f019765b51c4b1448269bfb08d57a07cac4b7ec31,3071.004,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,214296672,11800,57853560,2747,722676
1da04ec5f7b16bb46d8cb5efad5f63df09866c3af49ff5d8b66963abbbb28853,2859.617,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,151780634,9024,43729223,2255,420455
7231024c8247e92e5793d3835212d2e1e5355daedd44b84818c03aaf0053d0a0,2828.356,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-swap-router-v-1-2,swap-y-for-x-simple-multi,143285219,11282,58184415,1604,42102
bf18558ef3f860f9eabec560033fde7eb11fc08dd7f385c29efc6ed1612ea834,2826.728,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,235146747,12421,62572195,3000,2396565
b00cdb5cffd4c8080c7b94537255b32989eab118c4546cdf577b86877c5c93b1,2825.401,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,235146747,12421,62572195,3000,2396565
ba20049e9e23d79b78cc73cfe95252a3ff1043409f485417c068146634c9db6e,2782.148,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,235146747,12421,62572195,3000,2396565
e12141a7359afc57a4a0b9bf0c9c9d916e267dc3def5d33724093c8dfee7556d,2727.698,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,233683638,13141,63663293,3237,857550
593dbdb69e1cb9acbea86038a6b3bc125ff0c50efe9a8ca8678f3b75f9d91a95,2723.21,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,233962434,12409,62273933,3000,2231835
c7c32ad6aab047777a87b98e2b7f3ad9644e2a57b6d2be8b208bc3098c42e948,2702.862,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-swap-router-v-1-2,swap-y-for-x-simple-multi,154974810,9914,63288949,644,11662
d946b269d08c576c879e4af2e95789669d6c6b33c68e64b2be6e3ffb2b7c5962,2695.869,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,233962434,12409,62273933,3000,2231835
