issuer,contract,function,span,self_ms,calls,txs
SP2H674PRTZV6YW56K0FMR7GDGZE4ZC5HMYZ3CDEV,ramp,rr,walk_backptr,905.574,125654,15
SP102V8P0F7JX67ARQ77WEA3D3CFB5XW39REDT0AM,amm-pool-v2-01,swap-helper,walk_backptr,896.464,55592,33
SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR,stableswap-swap-helper-v-1-5,swap-helper-b,walk_backptr,856.7,51072,12
SPN6QHTXYKBNYNS6765BTECXRSPYKC7B0M5KADMW,tip-ledger,reward-tip,put,836.947,2660,190
SP31PKQVQZVZCK3FM3NH67CGD6G1FMR17VQVS2W5T,sprintfund-core-v3,stake,walk_backptr,826.917,61242,333
SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR,router-stableswap-xyk-multihop-v-1-2,swap-helper-a,lookup_variable,825.063,1178324,39
SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR,stableswap-swap-helper-v-1-5,swap-helper-a,lookup_variable,808.385,1141451,38
SPN6QHTXYKBNYNS6765BTECXRSPYKC7B0M5KADMW,tip-ledger,reward-tip,walk_backptr,805.364,61558,190
SP1T53V1V82N9Q5HCMQBHMXT1ZVP2YRSDDTYYYY07,pulsewatch,emit-signal,put,790.313,2204,551
SP29VJHHXFPRQMW6W1VDE9NVR4AZ04V44H3T1X01Y,tip,tip,walk_backptr,764.747,38590,221
SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-swap-router-v-1-2,swap-y-for-x-simple-multi,get,754.739,502685,85
SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR,router-stableswap-xyk-multihop-v-1-2,swap-helper-d,lookup_variable,747.475,1083936,19
SP2H674PRTZV6YW56K0FMR7GDGZE4ZC5HMYZ3CDEV,shim,r2,walk_backptr,717.58,148966,3
SP2H674PRTZV6YW56K0FMR7GDGZE4ZC5HMYZ3CDEV,psis,ry,walk_backptr,709.581,132730,3
SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR,router-stableswap-velar-v-1-5,swap-helper-a,walk_backptr,691.826,40216,11
SP2H674PRTZV6YW56K0FMR7GDGZE4ZC5HMYZ3CDEV,more,r1,walk_backptr,683.314,130444,4
SP1T53V1V82N9Q5HCMQBHMXT1ZVP2YRSDDTYYYY07,bidvault,open-vault,walk_backptr,663.033,42962,291
SP2QEZ06AGJ3RKJPBV14SY1V5BBFNAW33D96YPGZF,BNS-V2,name-claim-fast,put,655.221,1998,253
SP2H674PRTZV6YW56K0FMR7GDGZE4ZC5HMYZ3CDEV,hong,rc,walk_backptr,653.055,65530,4
SPQC38PW542EQJ5M11CR25P7BS1CA6QT4TBXGB3M,stableswap-stx-ststx-v-1-2,swap-x-for-y,lookup_variable,605.319,857760,32
SPGDS0Y17973EN5TCHNHGJJ9B31XWQ5YX8A36C9B,hermes-token,mint,put,600.712,1464,244
SPGDS0Y17973EN5TCHNHGJJ9B31XWQ5YX8A36C9B,bradley-coin-v2,mint,put,592.903,1368,228
SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,add-liquidity-multi,map-set,559.301,182199,501
SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR,router-stableswap-xyk-v-1-5,swap-helper-a,walk_backptr,550.264,30786,9
