span_id,context,name,wall_ms,self_wall_ms,total_calls,distinct_blocks,pct_blocks,distinct_txs,pct_txs
244,clarity::user::read-only,is-approved-relayer-or-default,51.9,0.02,41,37,0.4,41,0.3
548,clarity::user::private,get-owner,34.46,0.02,15,10,0.1,10,0.1
719,clarity::user::private,pay-royalty,5.64,0.02,8,8,0.1,8,0.1
792,clarity::user::private,exp-fixed,3.68,0.02,6,1,0.0,1,0.0
953,clarity::user::private,kbcf183d,358.39,0.02,4,3,0.0,4,0.0
308,clarity::user::read-only,check-is-transfer-active,12.56,0.02,50,50,0.6,50,0.4
325,clarity::user::read-only,get-minting-contract,15.59,0.02,46,27,0.3,27,0.2
457,clarity::user::read-only,current-fees,178.56,0.02,69,46,0.5,46,0.4
495,clarity::user::read-only,g,2.31,0.02,74,25,0.3,25,0.2
899,clarity::user::private,swap-pepe-to-sbtc,31.55,0.02,9,9,0.1,9,0.1
276,clarity::user::read-only,get-accrued-fee-or-default,8.22,0.02,42,38,0.4,42,0.4
313,clarity::user::read-only,get-keeper,12.5,0.02,56,56,0.6,56,0.5
315,clarity::user::read-only,get-trading-active,4.34,0.02,55,55,0.6,55,0.5
621,clarity::user::private,update-shares,12.33,0.02,6,6,0.1,6,0.1
672,clarity::user::read-only,get-asset-isolation-mode-debt,70.72,0.02,51,11,0.1,11,0.1
856,clarity::user::private,sum-with-helper-value,0.05,0.02,10,1,0.0,1,0.0
880,clarity::user::private,qtb041a6,262.37,0.02,2,2,0.0,2,0.0
915,clarity::user::private,check-owner,1.53,0.02,6,6,0.1,6,0.1
238,clarity::user::read-only,hash-cross-swap-order,1.41,0.02,41,37,0.4,41,0.3
399,clarity::user::private,vtdbc3a6,81.76,0.02,5,5,0.1,5,0.0
498,clarity::user::read-only,find-x-guess,0.14,0.02,26,25,0.3,25,0.2
550,clarity::user::private,transfer-tradable-to-escrow,3.37,0.02,4,4,0.0,4,0.0
553,clarity::user::private,fn16d52d,508.22,0.02,4,4,0.0,4,0.0
620,clarity::user::private,update-total-assets,0.69,0.02,7,7,0.1,7,0.1
631,clarity::user::read-only,get-reward-program-income,34.96,0.02,36,11,0.1,12,0.1
662,clarity::user::read-only,to-fixed,13.44,0.02,41,25,0.3,25,0.2
680,clarity::user::read-only,get-user-e-mode,26.55,0.02,33,12,0.1,12,0.1
916,clarity::user::private,mt78675d,244.81,0.02,2,2,0.0,2,0.0
269,clarity::user::read-only,validate-route,93.57,0.02,41,37,0.4,41,0.3
520,clarity::vm::database::clarity_db::ClarityDatabase,has_contract,0.38,0.02,13,13,0.1,13,0.1
686,clarity::user::read-only,get-compounded-borrow-balance,110.67,0.02,44,18,0.2,18,0.2
873,clarity::user::private,ijc982ec,76.38,0.02,3,3,0.0,3,0.0
900,clarity::user::private,is-approved-caller,0.04,0.02,10,10,0.1,10,0.1
902,clarity::user::private,swap-stx-to-pepe,67.39,0.02,9,9,0.1,9,0.1
917,clarity::user::private,wzea2b4f,250.32,0.02,2,2,0.0,2,0.0
246,clarity::user::read-only,is-order-sent-or-default,57.39,0.02,41,37,0.4,41,0.3
446,clarity::user::read-only,check-slippage,0.59,0.02,46,46,0.5,46,0.4
607,clarity::user::private,rodf2dd0,20.96,0.02,2,2,0.0,2,0.0
613,clarity::user::read-only,get-pending-fees,4.41,0.02,33,9,0.1,9,0.1
694,clarity::user::private,update-user-state-on-borrow,8.59,0.02,4,4,0.0,4,0.0
862,clarity::user::private,vsf1bad3,539.76,0.02,4,4,0.0,4,0.0
879,clarity::user::private,rvf88607,514.71,0.02,4,4,0.0,4,0.0
890,clarity::user::private,wi6713ff,90.09,0.02,3,3,0.0,3,0.0
521,clarity::vm::database::key_value_wrapper::RollbackWrapper,prepare_for_contract_metadata,0.01,0.01,13,13,0.1,13,0.1
536,clarity::user::read-only,get-subscription-per-address,25.97,0.01,35,4,0.0,4,0.0
604,clarity::user::read-only,get-y-given-x,38.9,0.01,39,16,0.2,24,0.2
643,clarity::user::read-only,get-reserve-vault,35.76,0.01,56,25,0.3,25,0.2
655,clarity::user::read-only,get-reserve-factor,50.17,0.01,46,25,0.3,25,0.2
676,clarity::user::private,convert-stx-to-ststx,75.45,0.01,8,4,0.0,4,0.0
743,clarity::user::private,get-user-id,14.46,0.01,8,1,0.0,1,0.0
883,clarity::user::private,zi5929b4,74.34,0.01,3,3,0.0,3,0.0
901,clarity::user::private,swap-sbtc-to-stx-velar,39.43,0.01,7,7,0.1,7,0.1
922,clarity::user::private,sync,0.31,0.01,6,6,0.1,6,0.1
956,clarity::user::private,assert-unlock-input,1.05,0.01,1,1,0.0,1,0.0
261,clarity::user::read-only,validate-cross-swap-order,368.66,0.01,41,37,0.4,41,0.3
290,clarity::user::read-only,get-price,21.88,0.01,35,22,0.2,23,0.2
394,clarity::user::private,jw6cdf40,92.28,0.01,4,4,0.0,4,0.0
612,clarity::user::read-only,get-total-assets,4.38,0.01,50,9,0.1,9,0.1
826,clarity::user::private,staked-less-than-kink,1.33,0.01,1,1,0.0,1,0.0
231,clarity::user::read-only,get-bin-balances,2.35,0.01,29,10,0.1,10,0.1
245,clarity::user::read-only,get-required-validators,34.36,0.01,41,37,0.4,41,0.3
253,clarity::user::read-only,get-default-peg-out-fee,19.45,0.01,41,37,0.4,41,0.3
277,clarity::user::public,set-accrued-fee,19.92,0.01,42,38,0.4,42,0.4
468,clarity::user::read-only,deduct,0.51,0.01,46,23,0.3,23,0.2
634,clarity::user::read-only,get-precision,30.77,0.01,36,11,0.1,12,0.1
687,clarity::user::read-only,get-e-mode-config,57.51,0.01,29,12,0.1,12,0.1
885,clarity::user::private,cn15029a,120.43,0.01,2,2,0.0,2,0.0
932,clarity::user::private,ks59a53f,69.23,0.01,3,3,0.0,3,0.0
434,clarity::user::public,extract-price,3281.41,0.01,48,47,0.5,48,0.4
447,clarity::user::read-only,check-price,0.16,0.01,46,46,0.5,46,0.4
525,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,get_open_chain_tip,0.01,0.01,137,13,0.1,13,0.1
537,clarity::user::read-only,get-blocks-per-spoint,17.13,0.01,33,4,0.0,4,0.0
559,clarity::user::private,maybe-extend-for-next-cycle,19.18,0.01,3,3,0.0,3,0.0
565,clarity::user::private,xyk-swap-a,71.79,0.01,3,3,0.0,3,0.0
611,clarity::user::read-only,get-net-assets,8.46,0.01,32,9,0.1,9,0.1
647,clarity::user::read-only,count-collateral-enabled,31.81,0.01,33,17,0.2,17,0.1
665,clarity::user::read-only,get-base-supply-rate,36.39,0.01,25,25,0.3,25,0.2
912,clarity::user::private,mu6b5e1d,269.93,0.01,2,2,0.0,2,0.0
937,clarity::user::private,gm3a53a2,209.56,0.01,2,2,0.0,2,0.0
951,clarity::user::private,fn4ce62c,131.41,0.01,4,3,0.0,4,0.0
234,clarity::user::read-only,get-bin-price,17.22,0.01,29,10,0.1,10,0.1
270,clarity::user::read-only,validate-transfer-to-unwrap,78.36,0.01,42,38,0.4,42,0.4
