issuer,contract,function,call_count,sum_runtime,pct_run_runtime,sum_read_count,pct_run_read_count,sum_read_length,pct_run_read_length,sum_write_count,pct_run_write_count,sum_write_length,pct_run_write_length,max_block_runtime,max_block_read_count,max_block_read_length,max_block_write_count,max_block_write_length,max_axis_share_pct
SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR,router-stableswap-xyk-multihop-v-1-2,swap-helper-a,39,970403671,0.89,8519,0.14,16179032,0.06,580,0.05,3649,0.0,24942609,222,429592,16,96,0.89
SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR,stableswap-swap-helper-v-1-5,swap-helper-a,38,923314614,0.85,5444,0.09,9682987,0.04,309,0.03,2166,0.0,24340227,146,283715,9,57,0.85
SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR,router-stableswap-xyk-multihop-v-1-2,swap-helper-d,19,883945995,0.81,6352,0.11,12209497,0.05,445,0.04,2755,0.0,49103412,350,671075,25,153,0.81
SP1A27KFY4XERQCCRCARCYD1CC5N7M6688BSYADJ7,v0-transfer,withdraw-deposit-all,3,816898429,0.75,5346,0.09,23828679,0.09,194,0.02,27912,0.01,350512942,2312,10195544,81,11547,0.75
SPQC38PW542EQJ5M11CR25P7BS1CA6QT4TBXGB3M,stableswap-stx-ststx-v-1-2,swap-x-for-y,32,674164960,0.62,37696,0.63,2701568,0.01,224,0.02,16000,0.01,21067655,1178,84424,7,500,0.63
SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-swap-router-v-1-1,swap-y-for-x-simple-multi,59,639485886,0.59,14070,0.23,85340363,0.33,1133,0.1,27978,0.01,154965892,9913,63287910,644,11662,0.59
SP387HJN7F2HR9KQ4250YGFCA4815T1F9X7N74C5W,options-market-v5,batch-create-listings,20,72071360,0.07,12080,0.2,373140,0.0,6000,0.55,540000,0.18,14414272,2416,74628,1200,108000,0.55
SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR,stableswap-swap-helper-v-1-5,swap-helper-b,12,581670078,0.53,3264,0.05,6305954,0.02,216,0.02,1368,0.0,48480828,272,525675,18,114,0.53
SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-swap-router-v-1-1,swap-simple-multi,287,361419511,0.33,25213,0.42,133174049,0.52,3030,0.28,97269,0.03,36171536,2847,14214282,390,11912,0.52
SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR,router-stableswap-xyk-multihop-v-1-2,swap-helper-b,20,482229598,0.44,5526,0.09,9998409,0.04,420,0.04,2566,0.0,25393114,289,520902,22,135,0.44
SP2H674PRTZV6YW56K0FMR7GDGZE4ZC5HMYZ3CDEV,shim,r2,3,333677623,0.31,17148,0.29,5423270,0.02,484,0.04,18417,0.01,160930034,8016,1920162,174,6487,0.31
SP1A27KFY4XERQCCRCARCYD1CC5N7M6688BSYADJ7,v0-4-market,supply-collateral-add,22,305103830,0.28,4256,0.07,6327988,0.02,382,0.03,10637,0.0,105681069,424,762467,33,1939,0.28
SP2H674PRTZV6YW56K0FMR7GDGZE4ZC5HMYZ3CDEV,psis,ry,3,288794958,0.27,14536,0.24,5152267,0.02,431,0.04,14741,0.0,141111605,6980,2100927,176,6021,0.27
SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR,router-stableswap-velar-v-1-5,swap-helper-a,11,275721093,0.25,2261,0.04,4491596,0.02,181,0.02,6492,0.0,25066567,208,421024,19,592,0.25
SP2H674PRTZV6YW56K0FMR7GDGZE4ZC5HMYZ3CDEV,more,r1,4,264628276,0.24,14559,0.24,5546928,0.02,409,0.04,16731,0.01,117559734,6929,1986629,175,6489,0.24
SP1T53V1V82N9Q5HCMQBHMXT1ZVP2YRSDDTYYYY07,quickpulse,dispatch-relay,324,13337492,0.01,5912,0.1,1409597,0.01,2591,0.24,98342,0.03,325815,147,30583,70,2828,0.24
SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR,router-stableswap-xyk-v-1-5,swap-helper-a,9,223199883,0.21,1955,0.03,3071126,0.01,146,0.01,873,0.0,49616278,434,679984,32,194,0.21
SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR,router-xyk-stableswap-v-1-1,swap-helper-a,9,219604086,0.2,1593,0.03,2410407,0.01,153,0.01,864,0.0,24400454,177,267823,17,96,0.2
SP2H674PRTZV6YW56K0FMR7GDGZE4ZC5HMYZ3CDEV,psis,rh,3,217124629,0.2,10102,0.17,3698230,0.01,280,0.03,12047,0.0,187498128,8282,2322939,204,7618,0.2
SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-1,withdraw-relative-liquidity-same-multi,32,195071374,0.18,9039,0.15,45583091,0.18,1894,0.17,129592,0.04,86334853,4045,20039979,860,89397,0.18
SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR,xyk-staking-sbtc-stx-v-1-2,stake-lp-tokens,2,192697561,0.18,1002,0.02,147348,0.0,256,0.02,22372,0.01,99204638,501,106791,128,11696,0.18
SPQC38PW542EQJ5M11CR25P7BS1CA6QT4TBXGB3M,stableswap-stx-ststx-v-1-2,swap-y-for-x,9,189350397,0.17,10602,0.18,759816,0.0,63,0.01,4500,0.0,21038933,1178,84424,7,500,0.18
SP2H674PRTZV6YW56K0FMR7GDGZE4ZC5HMYZ3CDEV,miro,rk,2,182992564,0.17,10702,0.18,2596522,0.01,226,0.02,8442,0.0,91526055,5355,1301761,114,4222,0.18
SP2VCQJGH7PHP2DJK7Z0V48AGBHQAW3R3ZW1QF4N,borrow-helper-v2-1-7,supply,20,89064818,0.08,8359,0.14,45490938,0.18,209,0.02,60658,0.02,12601040,1159,6653670,26,6699,0.18
SP2H674PRTZV6YW56K0FMR7GDGZE4ZC5HMYZ3CDEV,gear,rp,2,179534018,0.16,10464,0.17,2160120,0.01,204,0.02,7296,0.0,89767009,5232,1080060,102,3648,0.17
SP2H674PRTZV6YW56K0FMR7GDGZE4ZC5HMYZ3CDEV,kark,rp,2,179534018,0.16,10464,0.17,2160120,0.01,204,0.02,7296,0.0,89767009,5232,1080060,102,3648,0.17
SPN6QHTXYKBNYNS6765BTECXRSPYKC7B0M5KADMW,tip-ledger,reward-tip,190,9708038,0.01,3990,0.07,1458676,0.01,1900,0.17,75807,0.03,255475,105,38390,50,1996,0.17
SP2H674PRTZV6YW56K0FMR7GDGZE4ZC5HMYZ3CDEV,shim,rs,4,173765369,0.16,7698,0.13,3516997,0.01,283,0.03,12577,0.0,143278608,5849,2067292,186,7274,0.16
SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR,migration-stx-ststx-v-1-2,migrate,1,168099679,0.15,3171,0.05,18992927,0.07,181,0.02,23463,0.01,168099679,3171,18992927,181,23463,0.15
SP2H674PRTZV6YW56K0FMR7GDGZE4ZC5HMYZ3CDEV,kaal,ru,1,159814480,0.15,7969,0.13,1820013,0.01,160,0.01,5653,0.0,159814480,7969,1820013,160,5653,0.15
SP2H674PRTZV6YW56K0FMR7GDGZE4ZC5HMYZ3CDEV,miro,rg,3,152253393,0.14,7775,0.13,3701673,0.01,277,0.03,10390,0.0,142358442,7170,2539730,186,7853,0.14
SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR,router-stableswap-xyk-multihop-v-1-2,swap-helper-e,3,148589311,0.14,1243,0.02,2288156,0.01,93,0.01,576,0.0,49543053,415,763454,31,192,0.14
SP2H674PRTZV6YW56K0FMR7GDGZE4ZC5HMYZ3CDEV,more,r0,2,148286992,0.14,7764,0.13,3732913,0.01,242,0.02,14408,0.0,142016844,6993,2034889,183,9277,0.14
SP2H674PRTZV6YW56K0FMR7GDGZE4ZC5HMYZ3CDEV,deck,rh,1,142294893,0.13,7035,0.12,2131199,0.01,196,0.02,7050,0.0,142294893,7035,2131199,196,7050,0.13
SP2H674PRTZV6YW56K0FMR7GDGZE4ZC5HMYZ3CDEV,seil,rj,1,141852509,0.13,7019,0.12,2194912,0.01,183,0.02,7046,0.0,141852509,7019,2194912,183,7046,0.13
SP2H674PRTZV6YW56K0FMR7GDGZE4ZC5HMYZ3CDEV,blip,rt,1,140740730,0.13,6972,0.12,2024531,0.01,180,0.02,6020,0.0,140740730,6972,2024531,180,6020,0.13
SP2H674PRTZV6YW56K0FMR7GDGZE4ZC5HMYZ3CDEV,rant,rb,1,138321517,0.13,6750,0.11,1761488,0.01,146,0.01,5368,0.0,138321517,6750,1761488,146,5368,0.13
SP2H674PRTZV6YW56K0FMR7GDGZE4ZC5HMYZ3CDEV,more,r4,1,136974031,0.13,7960,0.13,1757583,0.01,173,0.02,7336,0.0,136974031,7960,1757583,173,7336,0.13
SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-1,add-relative-liquidity-same-multi,58,108604481,0.1,6882,0.11,32641092,0.13,1415,0.13,61434,0.02,13239752,820,3700086,180,8604,0.13
SPV9K21TBFAK4KNRJXF5DFP8N7W46G4V9RCJDC22,sbtc-stx-jing,settle-with-refresh,2,127151276,0.12,371,0.01,883360,0.0,60,0.01,2775,0.0,63586313,187,441703,31,1461,0.12
