span_id,context,name,wall_ms,self_wall_ms,total_calls,distinct_blocks,pct_blocks,distinct_txs,pct_txs
222,clarity::builtin,stx-get-balance,574.89,9.14,3343,392,2.6,482,1.6
81,blockstack_lib::clarity_vm::clarity::ClarityBlockConnection,seal,463125.67,8.85,15000,15000,100.0,0,0.0
91,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,commit_metadata_for_trie,305.08,8.45,15000,15000,100.0,0,0.0
372,clarity::user::private,buff-20-to-uint,30.82,8.43,3926,54,0.4,54,0.2
341,clarity::builtin,buff-to-uint-be,7.53,7.53,18009,419,2.8,520,1.7
69,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,get_current_block_height,202.99,7.29,139388,15000,100.0,30901,100.0
109,clarity::user::private,validate-ownership,12.76,7.22,2373,2165,14.4,2373,7.7
150,clarity::builtin,filter,520.73,7.15,924,322,2.1,329,1.1
1052,clarity::user::private,total-assets-preview,13405.21,7.15,7592,165,1.1,167,0.5
401,clarity::builtin,at-block,78196.01,6.79,4608,60,0.4,60,0.2
220,clarity::builtin,err,6.74,6.74,16046,419,2.8,483,1.6
356,clarity::user::private,read-buff-20,29.2,6.68,2025,54,0.4,54,0.2
255,clarity::user::private,pow-decimals,437.08,6.63,1682,129,0.9,159,0.5
513,clarity::vm::analysis::analysis_db::AnalysisDatabase,load_contract_non_canonical,250.61,6.6,354,11,0.1,13,0.0
82,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,seal_trie,463116.82,6.54,15000,15000,100.0,0,0.0
1360,clarity::user::private,get-collateral-amount,5170.44,6.39,2972,58,0.4,58,0.2
1013,clarity::user::private,mask-to-list-internal,1748.27,6.3,1823,115,0.8,115,0.4
338,clarity::user::private,read-uint-8,36.61,5.97,1604,54,0.4,54,0.2
987,clarity::user::private,fold-withdraw-relative-liquidity-same-multi,2343.26,5.52,2106,32,0.2,32,0.1
370,clarity::user::private,hash-path,92.68,5.34,1963,54,0.4,54,0.2
